GPCRdb_accession	receptor	GPCRdb_family	GPCRdb_ligand_type	GPCRdb_class	isoforms_per_receptor	mean_isoforms_per_class_ligand_type_family	mean_isoforms_per_class_ligand_type	mean_isoforms_per_class
220	P21452	NK2R	Tachykinin receptors	Peptide receptors	Class A (Rhodopsin)	2	1.66666666666667	1.61290322580645	1.69868995633188
221	P29371	NK3R	Tachykinin receptors	Peptide receptors	Class A (Rhodopsin)	1	1.66666666666667	1.61290322580645	1.69868995633188
222	P28336	NMBR	Bombesin receptors	Peptide receptors	Class A (Rhodopsin)	1	1	1.61290322580645	1.69868995633188
223	Q9HB89	NMUR1	Neuromedin U receptors	Peptide receptors	Class A (Rhodopsin)	1	1	1.61290322580645	1.69868995633188
224	Q9GZQ4	NMUR2	Neuromedin U receptors	Peptide receptors	Class A (Rhodopsin)	1	1	1.61290322580645	1.69868995633188
225	P48145	NPBW1	Neuropeptide W/neuropeptide B receptors	Peptide receptors	Class A (Rhodopsin)	1	1	1.61290322580645	1.69868995633188
226	P48146	NPBW2	Neuropeptide W/neuropeptide B receptors	Peptide receptors	Class A (Rhodopsin)	1	1	1.61290322580645	1.69868995633188
227	Q9GZQ6	NPFF1	Neuropeptide FF/neuropeptide AF receptors	Peptide receptors	Class A (Rhodopsin)	1	1.5	1.61290322580645	1.69868995633188
228	Q9Y5X5	NPFF2	Neuropeptide FF/neuropeptide AF receptors	Peptide receptors	Class A (Rhodopsin)	2	1.5	1.61290322580645	1.69868995633188
229	P25929	NPY1R	Neuropeptide Y receptors	Peptide receptors	Class A (Rhodopsin)	5	5	1.61290322580645	1.69868995633188
230	P30989	NTR1	Neurotensin receptors	Peptide receptors	Class A (Rhodopsin)	1	1	1.61290322580645	1.69868995633188
231	O95665	NTR2	Neurotensin receptors	Peptide receptors	Class A (Rhodopsin)	1	1	1.61290322580645	1.69868995633188
232	Q15743	OGR1	Class A orphans	Orphan receptors	Class A (Rhodopsin)	3	1.50769230769231	1.50769230769231	1.69868995633188
233	Q9H1Y3	OPN3	Opsins	Sensory receptors	Class A (Rhodopsin)	2	1.66666666666667	1.66666666666667	1.69868995633188
234	Q9UHM6	OPN4	Opsins	Sensory receptors	Class A (Rhodopsin)	2	1.66666666666667	1.66666666666667	1.69868995633188
235	Q6U736	OPN5	Opsins	Sensory receptors	Class A (Rhodopsin)	3	1.66666666666667	1.66666666666667	1.69868995633188
236	P41143	OPRD	Opioid receptors	Peptide receptors	Class A (Rhodopsin)	1	2.33333333333333	1.61290322580645	1.69868995633188
237	P41145	OPRK	Opioid receptors	Peptide receptors	Class A (Rhodopsin)	2	2.33333333333333	1.61290322580645	1.69868995633188
238	P35372	OPRM	Opioid receptors	Peptide receptors	Class A (Rhodopsin)	4	2.33333333333333	1.61290322580645	1.69868995633188
239	P03999	OPSB	Opsins	Sensory receptors	Class A (Rhodopsin)	1	1.66666666666667	1.66666666666667	1.69868995633188
240	P08100	OPSD	Opsins	Sensory receptors	Class A (Rhodopsin)	1	1.66666666666667	1.66666666666667	1.69868995633188
241	P04001	OPSG	Opsins	Sensory receptors	Class A (Rhodopsin)	1	1.66666666666667	1.66666666666667	1.69868995633188
242	O43614	OX2R	Orexin receptors	Peptide receptors	Class A (Rhodopsin)	1	1	1.61290322580645	1.69868995633188
243	Q8TDS5	OXER1	Leukotriene receptors	Lipid receptors	Class A (Rhodopsin)	1	1.25	1.78260869565217	1.69868995633188
244	Q96P68	OXGR1	Oxoglutarate receptors	Alicarboxylic acid receptors	Class A (Rhodopsin)	3	3	1.5	1.69868995633188
245	P30559	OXYR	Vasopressin and oxytocin receptors	Peptide receptors	Class A (Rhodopsin)	2	2	1.61290322580645	1.69868995633188
246	P47900	P2RY1	P2Y receptors	Nucleotide receptors	Class A (Rhodopsin)	1	1.42857142857143	2	1.69868995633188
247	P51582	P2RY4	P2Y receptors	Nucleotide receptors	Class A (Rhodopsin)	1	1.42857142857143	2	1.69868995633188
248	Q15077	P2RY6	P2Y receptors	Nucleotide receptors	Class A (Rhodopsin)	3	1.42857142857143	2	1.69868995633188
249	Q86VZ1	P2RY8	Class A orphans	Orphan receptors	Class A (Rhodopsin)	1	1.50769230769231	1.50769230769231	1.69868995633188
250	Q96G91	P2Y11	P2Y receptors	Nucleotide receptors	Class A (Rhodopsin)	1	1.42857142857143	2	1.69868995633188
251	Q9H244	P2Y12	P2Y receptors	Nucleotide receptors	Class A (Rhodopsin)	1	1.42857142857143	2	1.69868995633188
252	Q9BPV8	P2Y13	P2Y receptors	Nucleotide receptors	Class A (Rhodopsin)	1	1.42857142857143	2	1.69868995633188
253	Q15391	P2Y14	P2Y receptors	Nucleotide receptors	Class A (Rhodopsin)	2	1.42857142857143	2	1.69868995633188
254	P41586	PACR	VIP and PACAP receptors	Peptide receptors	Class B1 (Secretin)	3	2.33333333333333	1.71428571428571	1.71428571428571
255	P25116	PAR1	Proteinase-activated receptors	Peptide receptors	Class A (Rhodopsin)	1	1	1.61290322580645	1.69868995633188
256	P55085	PAR2	Proteinase-activated receptors	Peptide receptors	Class A (Rhodopsin)	1	1	1.61290322580645	1.69868995633188
257	O00254	PAR3	Proteinase-activated receptors	Peptide receptors	Class A (Rhodopsin)	1	1	1.61290322580645	1.69868995633188
258	Q96RI0	PAR4	Proteinase-activated receptors	Peptide receptors	Class A (Rhodopsin)	1	1	1.61290322580645	1.69868995633188
259	Q13258	PD2R	Prostanoid receptors	Lipid receptors	Class A (Rhodopsin)	2	2	1.78260869565217	1.69868995633188
260	Q9Y5Y4	PD2R2	Prostanoid receptors	Lipid receptors	Class A (Rhodopsin)	1	2	1.78260869565217	1.69868995633188
261	P34995	PE2R1	Prostanoid receptors	Lipid receptors	Class A (Rhodopsin)	1	2	1.78260869565217	1.69868995633188
262	P43116	PE2R2	Prostanoid receptors	Lipid receptors	Class A (Rhodopsin)	2	2	1.78260869565217	1.69868995633188
263	P43115	PE2R3	Prostanoid receptors	Lipid receptors	Class A (Rhodopsin)	5	2	1.78260869565217	1.69868995633188
264	P35408	PE2R4	Prostanoid receptors	Lipid receptors	Class A (Rhodopsin)	1	2	1.78260869565217	1.69868995633188
265	P43088	PF2R	Prostanoid receptors	Lipid receptors	Class A (Rhodopsin)	2	2	1.78260869565217	1.69868995633188
266	P43119	PI2R	Prostanoid receptors	Lipid receptors	Class A (Rhodopsin)	1	2	1.78260869565217	1.69868995633188
267	Q8NFJ6	PKR2	Prokineticin receptors	Protein receptors	Class A (Rhodopsin)	1	1	2.24	1.69868995633188
268	Q8IYL9	PSYR	Class A orphans	Orphan receptors	Class A (Rhodopsin)	1	1.50769230769231	1.50769230769231	1.69868995633188
269	Q03431	PTH1R	Parathyroid hormone receptors	Peptide receptors	Class B1 (Secretin)	2	1.5	1.71428571428571	1.71428571428571
270	P49190	PTH2R	Parathyroid hormone receptors	Peptide receptors	Class B1 (Secretin)	1	1.5	1.71428571428571	1.71428571428571
271	Q96P65	QRFPR	Peptide P518 receptors	Peptide receptors	Class A (Rhodopsin)	1	1	1.61290322580645	1.69868995633188
272	Q8NFJ5	RAI3	Class C Orphans	Orphan receptors	Class C (Glutamate)	2	2	2	1.85
273	Q9NSD7	RL3R1	Relaxin family peptide receptors	Peptide receptors	Class A (Rhodopsin)	1	1.25	1.61290322580645	1.69868995633188
274	Q8TDU9	RL3R2	Relaxin family peptide receptors	Peptide receptors	Class A (Rhodopsin)	1	1.25	1.61290322580645	1.69868995633188
275	Q9HBX9	RXFP1	Relaxin family peptide receptors	Peptide receptors	Class A (Rhodopsin)	1	1.25	1.61290322580645	1.69868995633188
276	Q8WXD0	RXFP2	Relaxin family peptide receptors	Peptide receptors	Class A (Rhodopsin)	2	1.25	1.61290322580645	1.69868995633188
277	P21453	S1PR1	Lysophospholipid (S1P) receptors	Lipid receptors	Class A (Rhodopsin)	1	1	1.78260869565217	1.69868995633188
278	O95136	S1PR2	Lysophospholipid (S1P) receptors	Lipid receptors	Class A (Rhodopsin)	1	1	1.78260869565217	1.69868995633188
279	O95977	S1PR4	Lysophospholipid (S1P) receptors	Lipid receptors	Class A (Rhodopsin)	1	1	1.78260869565217	1.69868995633188
280	Q9H228	S1PR5	Lysophospholipid (S1P) receptors	Lipid receptors	Class A (Rhodopsin)	1	1	1.78260869565217	1.69868995633188
281	P47872	SCTR	Glucagon receptor family	Peptide receptors	Class B1 (Secretin)	1	1.5	1.71428571428571	1.71428571428571
282	Q99835	SMO	Frizzled	Protein receptors	Class F (Frizzled)	1	1	1	1
283	P30872	SSR1	Somatostatin receptors	Peptide receptors	Class A (Rhodopsin)	1	1.5	1.61290322580645	1.69868995633188
284	P30874	SSR2	Somatostatin receptors	Peptide receptors	Class A (Rhodopsin)	2	1.5	1.61290322580645	1.69868995633188
285	P31391	SSR4	Somatostatin receptors	Peptide receptors	Class A (Rhodopsin)	1	1.5	1.61290322580645	1.69868995633188
286	P35346	SSR5	Somatostatin receptors	Peptide receptors	Class A (Rhodopsin)	2	1.5	1.61290322580645	1.69868995633188
287	Q9BXA5	SUCR1	Succinate receptors	Alicarboxylic acid receptors	Class A (Rhodopsin)	1	1	1.5	1.69868995633188
288	Q9NYW0	T2R10	Taste 2 receptors	Sensory receptors	Taste 2	1	1.13333333333333	1.13333333333333	1.13333333333333
289	Q9NYV8	T2R14	Taste 2 receptors	Sensory receptors	Taste 2	1	1.13333333333333	1.13333333333333	1.13333333333333
290	P59542	T2R19	Taste 2 receptors	Sensory receptors	Taste 2	1	1.13333333333333	1.13333333333333	1.13333333333333
291	P59543	T2R20	Taste 2 receptors	Sensory receptors	Taste 2	1	1.13333333333333	1.13333333333333	1.13333333333333
292	P59538	T2R31	Taste 2 receptors	Sensory receptors	Taste 2	1	1.13333333333333	1.13333333333333	1.13333333333333
293	P59533	T2R38	Taste 2 receptors	Sensory receptors	Taste 2	1	1.13333333333333	1.13333333333333	1.13333333333333
294	P59535	T2R40	Taste 2 receptors	Sensory receptors	Taste 2	1	1.13333333333333	1.13333333333333	1.13333333333333
295	P59537	T2R43	Taste 2 receptors	Sensory receptors	Taste 2	1	1.13333333333333	1.13333333333333	1.13333333333333
296	P59540	T2R46	Taste 2 receptors	Sensory receptors	Taste 2	1	1.13333333333333	1.13333333333333	1.13333333333333
297	P59544	T2R50	Taste 2 receptors	Sensory receptors	Taste 2	1	1.13333333333333	1.13333333333333	1.13333333333333
298	P59551	T2R60	Taste 2 receptors	Sensory receptors	Taste 2	1	1.13333333333333	1.13333333333333	1.13333333333333
299	P21731	TA2R	Prostanoid receptors	Lipid receptors	Class A (Rhodopsin)	3	2	1.78260869565217	1.69868995633188
300	Q9NYW7	TA2R1	Taste 2 receptors	Sensory receptors	Taste 2	3	1.13333333333333	1.13333333333333	1.13333333333333
301	Q9NYW6	TA2R3	Taste 2 receptors	Sensory receptors	Taste 2	1	1.13333333333333	1.13333333333333	1.13333333333333
302	Q9NYW5	TA2R4	Taste 2 receptors	Sensory receptors	Taste 2	1	1.13333333333333	1.13333333333333	1.13333333333333
303	Q9NYW4	TA2R5	Taste 2 receptors	Sensory receptors	Taste 2	1	1.13333333333333	1.13333333333333	1.13333333333333
304	Q96RJ0	TAAR1	Trace amine receptors	Aminergic receptors	Class A (Rhodopsin)	1	1	1.75	1.69868995633188
305	Q969N4	TAAR8	Class A orphans	Orphan receptors	Class A (Rhodopsin)	1	1.50769230769231	1.50769230769231	1.69868995633188
306	Q86W33	TPRA1	Other GPCR orphans	Orphan receptors	Other GPCRs	6	5.75	5.75	5.75
307	P34981	TRFR	Thyrotropin-releasing hormone receptors	Peptide receptors	Class A (Rhodopsin)	1	1	1.61290322580645	1.69868995633188
308	Q7RTX1	TS1R1	Taste 1 receptors	Sensory receptors	Class C (Glutamate)	2	1.33333333333333	1.33333333333333	1.85
309	Q8TE23	TS1R2	Taste 1 receptors	Sensory receptors	Class C (Glutamate)	1	1.33333333333333	1.33333333333333	1.85
310	Q7RTX0	TS1R3	Taste 1 receptors	Sensory receptors	Class C (Glutamate)	1	1.33333333333333	1.33333333333333	1.85
311	P16473	TSHR	Glycoprotein hormone receptors	Protein receptors	Class A (Rhodopsin)	1	2	2.24	1.69868995633188
312	Q9UKP6	UR2R	Urotensin receptors	Peptide receptors	Class A (Rhodopsin)	1	1	1.61290322580645	1.69868995633188
313	P37288	V1AR	Vasopressin and oxytocin receptors	Peptide receptors	Class A (Rhodopsin)	2	2	1.61290322580645	1.69868995633188
314	P47901	V1BR	Vasopressin and oxytocin receptors	Peptide receptors	Class A (Rhodopsin)	1	2	1.61290322580645	1.69868995633188
315	P30518	V2R	Vasopressin and oxytocin receptors	Peptide receptors	Class A (Rhodopsin)	3	2	1.61290322580645	1.69868995633188
316	P32241	VIPR1	VIP and PACAP receptors	Peptide receptors	Class B1 (Secretin)	2	2.33333333333333	1.71428571428571	1.71428571428571
317	P41587	VIPR2	VIP and PACAP receptors	Peptide receptors	Class B1 (Secretin)	2	2.33333333333333	1.71428571428571	1.71428571428571
318	P46094	XCR1	Chemokine receptors	Protein receptors	Class A (Rhodopsin)	2	2.25	2.24	1.69868995633188
